sensor_measurement_11,sensor_measurement_4,sensor_measurement_12,sensor_measurement_7,sensor_measurement_15,sensor_measurement_21,sensor_measurement_20,sensor_measurement_2,sensor_measurement_17,sensor_measurement_3,sensor_measurement_8,sensor_measurement_13,sensor_measurement_14,sensor_measurement_9,sensor_measurement_10,sensor_measurement_1,sensor_measurement_19,sensor_measurement_18,sensor_measurement_6,label,dataset_source
47.47,1400.6,521.66,554.36,8.4195,23.419,39.06,641.82,392,1589.7,2388.06,2388.02,8138.62,9046.19,1.3,518.67,100.0,2388,21.61,normal,train
47.49,1403.14,522.28,553.75,8.4318,23.4236,39.0,642.15,392,1591.82,2388.04,2388.07,8131.49,9044.07,1.3,518.67,100.0,2388,21.61,normal,train
47.27,1404.2,522.42,554.26,8.4178,23.3442,38.95,642.35,390,1587.99,2388.08,2388.03,8133.23,9052.94,1.3,518.67,100.0,2388,21.61,normal,train
47.13,1401.87,522.86,554.45,8.3682,23.3739,38.88,642.35,392,1582.79,2388.11,2388.08,8133.83,9049.48,1.3,518.67,100.0,2388,21.61,normal,train
47.28,1406.22,522.19,554.0,8.4294,23.4044,38.9,642.37,393,1582.85,2388.06,2388.04,8133.8,9055.15,1.3,518.67,100.0,2388,21.61,normal,train
47.16,1398.37,521.68,554.67,8.4108,23.3669,38.98,642.1,391,1584.47,2388.02,2388.03,8132.85,9049.68,1.3,518.67,100.0,2388,21.61,normal,train
47.36,1397.77,522.32,554.34,8.3974,23.3774,39.1,642.48,392,1592.32,2388.02,2388.03,8132.32,9059.13,1.3,518.67,100.0,2388,21.61,normal,train
47.24,1400.97,522.47,553.85,8.4076,23.3106,38.97,642.56,391,1582.96,2388.0,2388.03,8131.07,9040.8,1.3,518.67,100.0,2388,21.61,normal,train
47.29,1394.8,521.79,553.69,8.3728,23.4066,39.05,642.12,392,1590.98,2388.05,2388.05,8125.69,9046.46,1.3,518.67,100.0,2388,21.61,normal,train
47.03,1400.46,521.79,553.59,8.4286,23.4694,38.95,641.71,393,1591.24,2388.05,2388.06,8129.38,9051.7,1.3,518.67,100.0,2388,21.61,normal,train
47.15,1400.64,521.4,554.54,8.434,23.4787,38.94,642.28,392,1581.75,2388.05,2388.01,8140.58,9049.61,1.3,518.67,100.0,2388,21.61,normal,train
47.18,1400.15,521.8,554.52,8.3938,23.366,39.06,642.06,391,1583.41,2388.09,2388.02,8134.25,9049.37,1.3,518.67,100.0,2388,21.61,normal,train
47.38,1400.83,521.85,553.44,8.4152,23.2757,38.93,643.07,393,1582.19,2388.12,2388.08,8128.1,9046.82,1.3,518.67,100.0,2388,21.61,normal,train
47.44,1399.16,521.67,554.48,8.3964,23.3826,39.18,642.35,393,1592.95,2388.09,2388.0,8134.43,9047.37,1.3,518.67,100.0,2388,21.61,normal,train
47.3,1402.13,522.5,553.64,8.4199,23.35,38.99,642.43,391,1583.82,2388.11,2388.08,8127.56,9052.22,1.3,518.67,100.0,2388,21.61,normal,train
47.24,1404.5,521.49,553.94,8.3936,23.455,38.97,642.13,392,1587.98,2388.05,2388.07,8136.11,9049.34,1.3,518.67,100.0,2388,21.61,normal,train
47.12,1399.95,521.89,553.8,8.4542,23.3319,38.81,642.58,392,1584.96,2388.06,2388.04,8137.27,9054.92,1.3,518.67,100.0,2388,21.61,normal,train
47.21,1396.12,521.76,554.2,8.4028,23.3987,38.89,642.62,392,1591.04,2388.05,2388.07,8132.73,9049.55,1.3,518.67,100.0,2388,21.61,normal,train
47.4,1400.35,521.89,554.18,8.4321,23.3464,38.8,641.79,391,1587.56,2388.04,2388.03,8129.13,9053.99,1.3,518.67,100.0,2388,21.61,normal,train
47.22,1405.23,522.07,554.81,8.421,23.422,39.03,643.04,392,1581.11,2388.05,2388.02,8129.71,9045.9,1.3,518.67,100.0,2388,21.61,normal,train
47.15,1398.13,522.42,554.08,8.4049,23.3101,39.09,642.37,392,1586.07,2388.11,2388.08,8134.02,9048.15,1.3,518.67,100.0,2388,21.61,normal,train
47.24,1400.57,522.0,553.63,8.4034,23.3792,38.92,642.77,392,1592.93,2388.04,2388.03,8130.41,9061.21,1.3,518.67,100.0,2388,21.61,normal,train
47.25,1394.75,521.52,553.98,8.424,23.4562,38.94,642.14,392,1588.19,2388.05,2388.05,8127.9,9046.28,1.3,518.67,100.0,2388,21.61,normal,train
47.44,1398.81,522.13,553.49,8.3891,23.3696,39.0,642.38,392,1590.83,2388.12,2388.03,8133.88,9043.76,1.3,518.67,100.0,2388,21.61,normal,train
47.36,1399.39,522.56,554.0,8.3917,23.4288,38.95,642.77,393,1594.1,2388.02,2388.02,8136.61,9054.16,1.3,518.67,100.0,2388,21.61,normal,train
47.26,1396.07,522.28,554.11,8.426,23.4149,38.86,642.16,394,1589.08,2388.07,2388.06,8131.15,9047.11,1.3,518.67,100.0,2388,21.61,normal,train
47.37,1401.84,522.0,554.07,8.4046,23.4472,38.99,642.44,393,1590.47,2388.02,2388.13,8134.6,9047.96,1.3,518.67,100.0,2388,21.61,normal,train
