datetime,TCAp,sGRP,TSL_IR,TSL_Full,TSL_Vis,TSL_LUX,BMP_TempC,BMP_Pa,BMP_AltM,MPU_AccelXMss,MPU_AccelYMss,MPU_AccelZMss,MPU_GyroXRads,MPU_GyroYRads,MPU_GyroZRads,MPU_MagXuT,MPU_MagYuT,MPU_MagZuT,MPU_TempC,label,source_file
2020/07/20 10:52:05:782,0,0,268.0,733.0,465.0,48.14,27.57,100199.42,100.36,-0.69,-8.65,-4.47,0.0,-0.01,-0.01,15.19,15.79,-11.97,28.45,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:05:909,0,0,264.0,724.0,460.0,47.7,27.57,100200.53,100.27,-0.65,-8.63,-4.47,-0.0,-0.0,0.0,15.52,14.63,-14.6,28.45,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:06:036,0,0,260.0,713.0,453.0,46.97,27.57,100200.74,100.15,-0.69,-8.62,-4.51,-0.0,0.0,0.01,14.04,14.97,-14.16,28.47,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:06:163,0,0,256.0,703.0,447.0,46.39,27.57,100202.08,100.14,-0.69,-8.63,-4.51,0.0,0.0,0.0,15.19,16.02,-14.6,28.47,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:06:290,0,0,252.0,693.0,441.0,45.8,27.58,100201.03,100.23,-0.71,-8.62,-4.51,-0.0,0.0,0.0,14.86,15.79,-10.21,28.46,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:06:416,0,0,248.0,682.0,434.0,45.07,27.57,100199.84,100.33,-0.65,-8.63,-4.5,0.0,-0.0,-0.01,15.36,15.44,-13.29,28.48,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:06:543,0,0,243.0,670.0,427.0,44.41,27.58,100201.72,100.17,-0.64,-8.64,-4.48,0.0,-0.0,-0.01,14.2,15.09,-12.85,28.46,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:06:670,0,0,239.0,660.0,421.0,43.83,27.58,100200.27,100.29,-0.7,-8.62,-4.5,-0.0,0.0,0.01,14.53,16.02,-14.6,28.47,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:06:797,0,0,235.0,650.0,415.0,43.24,27.58,100199.41,100.37,-0.72,-8.64,-4.5,-0.0,0.0,0.0,15.85,16.02,-12.85,28.47,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:06:924,0,0,232.0,641.0,409.0,42.59,27.58,100200.09,100.31,-0.69,-8.63,-4.5,-0.0,-0.0,-0.0,15.19,16.02,-11.09,28.48,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:07:051,0,0,228.0,632.0,404.0,42.15,27.58,100200.35,100.29,-0.66,-8.66,-4.48,0.0,-0.0,-0.01,14.37,15.9,-13.29,28.46,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:07:178,0,0,225.0,625.0,400.0,41.78,27.58,100202.23,100.13,-0.67,-8.63,-4.48,0.0,0.0,-0.0,13.54,14.86,-12.85,28.46,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:07:304,0,0,222.0,616.0,394.0,41.13,27.58,100199.58,100.35,-0.66,-8.64,-4.5,-0.0,0.0,0.0,15.03,16.13,-14.16,28.48,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:07:431,0,0,219.0,608.0,389.0,40.62,27.58,100199.41,100.37,-0.7,-8.61,-4.48,-0.0,0.0,0.01,14.04,15.21,-14.16,28.47,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:07:558,0,0,216.0,601.0,385.0,40.25,27.58,100199.48,100.36,-0.69,-8.63,-4.47,0.0,-0.0,-0.01,14.86,16.48,-15.48,28.46,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:07:685,0,0,214.0,594.0,380.0,39.67,27.58,100197.94,100.49,-0.69,-8.63,-4.49,-0.0,-0.0,0.0,17.01,16.13,-9.77,28.46,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:07:812,0,0,211.0,586.0,375.0,39.16,27.58,100198.89,100.41,-0.69,-8.63,-4.47,-0.0,0.0,0.0,16.02,14.74,-13.29,28.46,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:07:939,0,0,208.0,579.0,371.0,38.8,27.58,100198.63,100.43,-0.67,-8.65,-4.47,-0.0,0.0,-0.0,15.36,15.9,-13.29,28.47,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:08:066,0,0,206.0,572.0,366.0,38.22,27.58,100198.03,100.48,-0.71,-8.63,-4.49,-0.0,0.0,0.0,15.52,16.02,-15.48,28.47,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:08:192,0,0,203.0,566.0,363.0,37.99,27.58,100200.7,100.26,-0.69,-8.63,-4.48,-0.0,-0.0,-0.0,14.2,15.32,-16.36,28.47,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:08:319,0,0,201.0,559.0,358.0,37.42,27.58,100200.17,100.3,-0.69,-8.62,-4.47,-0.0,0.0,-0.0,15.52,15.09,-11.09,28.46,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:08:446,0,0,198.0,554.0,356.0,37.33,27.58,100200.27,100.29,-0.68,-8.64,-4.49,0.0,-0.0,-0.0,14.86,15.32,-13.72,28.46,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:08:573,0,0,196.0,549.0,353.0,37.04,27.58,100199.83,100.33,-0.68,-8.63,-4.5,-0.0,-0.0,0.0,14.53,15.55,-14.6,28.45,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:08:700,0,0,194.0,543.0,349.0,36.61,27.58,100199.58,100.35,-0.69,-8.63,-4.48,-0.0,-0.0,-0.0,15.36,15.21,-13.29,28.46,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:08:827,0,0,192.0,539.0,347.0,36.46,27.58,100201.03,100.23,-0.68,-8.62,-4.46,0.0,-0.0,-0.0,14.7,15.67,-12.41,28.47,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:08:954,0,0,191.0,534.0,343.0,35.96,27.58,100196.39,100.62,-0.68,-8.64,-4.46,-0.0,-0.0,-0.0,15.52,16.25,-13.72,28.47,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:09:080,0,0,190.0,531.0,341.0,35.74,27.58,100199.66,100.34,-0.68,-8.63,-4.49,0.0,0.0,-0.0,15.52,15.55,-15.48,28.48,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:09:207,0,0,188.0,527.0,339.0,35.59,27.59,100197.23,100.55,-0.69,-8.62,-4.5,0.0,-0.0,0.0,15.36,15.44,-12.41,28.46,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:09:334,0,0,187.0,524.0,337.0,35.37,27.59,100198.53,100.44,-0.7,-8.62,-4.49,-0.0,-0.0,0.0,14.37,14.97,-10.65,28.47,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:09:461,0,0,186.0,521.0,335.0,35.15,27.59,100196.3,100.63,-0.68,-8.63,-4.5,0.0,-0.0,-0.0,14.86,15.79,-11.97,28.48,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:09:588,0,0,186.0,520.0,334.0,35.01,27.59,100199.56,100.35,-0.68,-8.63,-4.5,-0.0,0.0,0.0,14.7,15.21,-15.92,28.46,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:09:715,0,0,185.0,517.0,332.0,34.79,27.59,100200.43,100.28,-0.68,-8.62,-4.49,-0.0,0.0,0.0,14.37,14.97,-16.8,28.47,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:09:842,0,0,184.0,515.0,331.0,34.72,27.59,100199.56,100.35,-0.7,-8.64,-4.5,0.0,0.0,0.0,16.02,14.74,-12.41,28.47,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:09:968,0,0,183.0,514.0,331.0,34.79,27.59,100200.08,100.31,-0.68,-8.63,-4.49,-0.0,0.0,-0.0,15.03,15.21,-14.16,28.46,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:10:095,0,0,183.0,512.0,329.0,34.5,27.59,100200.25,100.3,-0.67,-8.61,-4.5,0.0,-0.0,0.0,16.68,14.51,-12.41,28.48,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:10:222,0,0,182.0,510.0,328.0,34.43,27.59,100198.53,100.44,-0.68,-8.63,-4.48,-0.0,-0.0,-0.0,14.37,14.05,-11.53,28.47,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:10:349,0,0,181.0,509.0,328.0,34.49,27.59,100200.51,100.27,-0.68,-8.61,-4.5,0.0,0.0,0.0,15.36,14.97,-12.41,28.47,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:10:476,0,0,181.0,508.0,327.0,34.35,27.59,100199.05,100.4,-0.67,-8.63,-4.51,0.0,-0.0,-0.0,15.03,14.74,-13.29,28.47,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:10:603,0,0,181.0,506.0,325.0,34.07,27.59,100199.48,100.36,-0.69,-8.62,-4.5,-0.0,-0.0,-0.0,15.19,14.63,-15.48,28.47,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:10:730,0,0,180.0,505.0,325.0,34.13,27.59,100199.48,100.36,-0.68,-8.61,-4.52,-0.0,0.0,0.0,15.19,15.55,-12.85,28.46,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:10:856,0,0,180.0,504.0,324.0,33.99,27.59,100201.38,100.2,-0.69,-8.62,-4.47,-0.0,-0.0,-0.0,15.03,15.67,-13.29,28.48,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:10:983,0,0,180.0,503.0,323.0,33.85,27.59,100201.55,100.19,-0.68,-8.62,-4.49,-0.0,-0.0,0.0,14.2,15.55,-12.85,28.46,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:11:110,0,0,179.0,501.0,322.0,33.77,27.59,100201.63,100.18,-0.69,-8.61,-4.48,-0.0,0.0,0.0,15.69,16.13,-14.16,28.48,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:11:237,0,0,179.0,501.0,322.0,33.77,27.59,100197.5,100.53,-0.68,-8.64,-4.49,-0.0,-0.0,-0.0,14.86,15.55,-11.97,28.48,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:11:364,0,0,178.0,499.0,321.0,33.7,27.59,100200.43,100.28,-0.69,-8.62,-4.49,0.0,-0.0,-0.0,14.86,15.79,-16.36,28.47,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:11:491,0,0,178.0,498.0,320.0,33.56,27.59,100200.08,100.31,-0.69,-8.63,-4.49,0.0,-0.0,0.0,15.36,15.9,-15.92,28.47,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:11:618,0,0,178.0,497.0,319.0,33.42,27.59,100201.08,100.23,-0.7,-8.62,-4.48,0.0,0.0,-0.0,15.52,15.55,-15.48,28.48,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:11:744,0,0,177.0,496.0,319.0,33.48,27.59,100200.95,100.24,-0.69,-8.62,-4.52,-0.0,0.0,0.0,16.51,15.09,-13.72,28.48,ground_truth,shuttle_ExFatLogger02.csv
2020/07/20 10:52:11:871,0,0,177.0,496.0,319.0,33.48,27.59,100201.59,100.13,-0.67,-8.63,-4.46,0.0,-0.0,-0.0,14.7,15.67,-15.92,28.46,ground_truth,shuttle_ExFatLogger02.csv
