datetime,TCAp,sGRP,TSL_IR,TSL_Full,TSL_Vis,TSL_LUX,BMP_TempC,BMP_Pa,BMP_AltM,MPU_AccelXMss,MPU_AccelYMss,MPU_AccelZMss,MPU_GyroXRads,MPU_GyroYRads,MPU_GyroZRads,MPU_MagXuT,MPU_MagYuT,MPU_MagZuT,MPU_TempC,label,source_file
2020/07/20 14:30:55:773,0,0,248.0,1058.0,810.0,101.21,28.15,100200.59,100.27,-0.86,-8.38,-4.94,0.0,-0.0,-0.0,15.94,16.02,-13.5,29.39,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 14:30:55:900,0,0,249.0,1058.0,809.0,100.96,28.15,100201.89,100.16,-0.91,-8.36,-4.94,-0.0,0.0,0.01,14.65,16.02,-14.42,29.4,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 14:30:56:027,0,0,247.0,1052.0,805.0,100.53,28.14,100200.0,100.32,-0.69,-8.42,-4.96,0.0,-0.01,-0.06,16.26,16.25,-11.67,29.38,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 14:30:56:154,0,0,247.0,1053.0,806.0,100.68,28.15,100202.14,100.14,-0.86,-8.44,-4.97,-0.02,-0.0,-0.01,14.65,15.08,-13.5,29.39,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 14:30:56:281,0,0,248.0,1057.0,809.0,101.05,28.15,100199.64,100.35,-0.85,-8.38,-4.95,0.0,-0.0,-0.02,15.62,14.85,-10.75,29.39,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 14:30:56:408,0,0,247.0,1053.0,806.0,100.68,28.15,100202.48,100.11,-0.94,-8.2,-5.03,0.01,0.01,0.04,14.49,14.97,-13.04,29.4,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 14:30:56:534,0,0,247.0,1050.0,803.0,100.22,28.15,100201.67,100.18,-0.83,-8.3,-5.09,0.02,-0.01,-0.02,13.85,15.2,-14.87,29.39,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 14:30:56:661,0,0,248.0,1054.0,806.0,100.59,28.15,100201.28,100.21,-0.86,-8.41,-4.86,-0.02,0.01,0.03,14.98,16.02,-11.67,29.4,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 14:30:56:788,0,0,247.0,1053.0,806.0,100.68,28.16,100202.27,100.13,-0.9,-8.3,-5.01,0.01,-0.0,-0.0,16.26,15.78,-10.75,29.4,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 14:30:56:915,0,0,246.0,1049.0,803.0,100.32,28.16,100203.05,100.06,-0.87,-8.55,-4.92,-0.02,0.0,-0.01,16.26,15.78,-9.84,29.4,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 14:30:57:042,0,0,248.0,1055.0,807.0,100.74,28.16,100202.1,100.14,-0.79,-8.43,-4.96,-0.01,-0.01,-0.03,15.78,15.9,-13.04,29.41,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 14:30:57:169,0,0,248.0,1054.0,806.0,100.59,28.15,100201.33,100.2,-0.78,-8.43,-4.96,0.0,-0.01,-0.04,14.65,15.32,-10.75,29.4,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 14:30:57:295,0,0,246.0,1049.0,803.0,100.32,28.17,100203.55,100.02,-0.91,-8.23,-5.02,0.0,0.01,0.04,15.14,14.97,-13.04,29.4,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 14:30:57:422,0,0,248.0,1056.0,808.0,100.9,28.16,100200.89,100.24,-0.82,-8.36,-4.91,-0.0,-0.0,-0.0,15.94,15.08,-12.58,29.4,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 14:30:57:549,0,0,248.0,1055.0,807.0,100.74,28.16,100200.89,100.24,-0.81,-8.36,-4.95,0.0,-0.0,0.0,14.65,16.72,-11.67,29.4,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 14:30:57:676,0,0,247.0,1051.0,804.0,100.38,28.16,100201.75,100.17,-0.87,-8.36,-5.0,-0.0,0.0,-0.0,14.33,16.02,-11.67,29.41,missing_parts,shuttle_ExFatLogger02.csv
