datetime,TCAp,sGRP,TSL_IR,TSL_Full,TSL_Vis,TSL_LUX,BMP_TempC,BMP_Pa,BMP_AltM,MPU_AccelXMss,MPU_AccelYMss,MPU_AccelZMss,MPU_GyroXRads,MPU_GyroYRads,MPU_GyroZRads,MPU_MagXuT,MPU_MagYuT,MPU_MagZuT,MPU_TempC,label,source_file
2020/07/20 19:52:24:875,0,0,139.0,809.0,670.0,90.56,28.46,100258.52,95.4,-1.49,-8.47,-4.7,-0.01,-0.0,-0.05,4.09,0.84,22.44,29.67,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:25:002,0,0,138.0,792.0,654.0,88.14,28.46,100260.16,95.26,-1.44,-8.21,-4.89,0.0,0.01,0.02,3.76,0.84,22.44,29.68,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:25:129,0,0,135.0,772.0,637.0,85.78,28.47,100259.13,95.35,-1.42,-8.33,-4.87,-0.01,0.01,0.0,5.07,0.53,22.44,29.69,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:25:256,0,0,134.0,764.0,630.0,84.78,28.46,100256.72,95.55,-1.47,-8.18,-4.91,0.02,0.02,0.05,4.74,0.22,22.44,29.68,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:25:383,0,0,134.0,764.0,630.0,84.78,28.47,100261.02,95.19,-1.51,-8.45,-5.31,-0.01,0.02,-0.02,5.07,2.38,22.89,29.68,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:25:509,0,0,97.0,514.0,417.0,55.21,28.46,100259.98,95.28,-1.25,-8.0,-5.4,0.01,-0.0,0.03,3.92,1.92,20.42,29.68,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:25:636,0,0,105.0,625.0,520.0,70.61,28.46,100256.8,95.55,-1.65,-8.28,-4.42,0.01,-0.0,0.04,5.23,1.3,21.32,29.69,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:25:763,0,0,143.0,808.0,665.0,89.32,28.46,100260.42,95.24,-0.98,-8.14,-5.4,0.0,0.05,0.1,4.91,1.61,20.42,29.7,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:25:890,0,0,143.0,803.0,660.0,88.53,28.46,100261.8,95.13,-1.08,-8.18,-4.85,0.02,0.02,-0.11,4.09,1.14,19.75,29.69,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:26:017,0,0,141.0,790.0,649.0,87.01,28.46,100260.07,95.27,-0.54,-8.12,-5.4,-0.01,0.02,-0.08,5.72,2.07,21.54,29.69,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:26:144,0,0,140.0,782.0,642.0,86.02,28.47,100261.36,95.16,-1.05,-8.19,-4.98,0.01,-0.03,-0.13,5.89,3.15,19.07,29.68,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:26:271,0,0,138.0,765.0,627.0,83.87,28.47,100258.61,95.39,-1.43,-8.17,-5.21,-0.01,0.02,0.07,6.54,2.84,20.42,29.68,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:26:397,0,0,135.0,746.0,611.0,81.67,28.47,100257.23,95.51,-1.22,-8.42,-5.03,-0.0,-0.02,-0.01,5.72,3.62,20.2,29.69,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:26:524,0,0,133.0,735.0,602.0,80.47,28.46,100258.52,95.4,-1.22,-8.59,-5.1,-0.05,-0.03,-0.13,6.22,3.46,22.66,29.69,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:26:651,0,0,131.0,719.0,588.0,78.48,28.47,100256.71,95.55,-1.86,-8.45,-4.31,-0.0,-0.01,-0.03,6.71,2.69,21.09,29.69,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:26:778,0,0,129.0,701.0,572.0,76.17,28.46,100258.0,95.44,-1.99,-7.99,-4.54,0.07,0.37,-0.07,6.22,4.08,21.77,29.7,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:26:905,0,0,128.0,696.0,568.0,75.65,28.47,100257.91,95.45,-1.1,-9.85,-5.41,0.18,1.08,0.56,6.54,5.0,21.32,29.7,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:27:032,0,0,133.0,714.0,581.0,77.16,28.47,100258.34,95.42,-1.67,-7.92,-5.3,0.31,1.87,1.57,5.4,5.16,22.89,29.69,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:27:159,0,0,142.0,749.0,607.0,80.28,28.47,100255.5,95.65,-2.44,-7.43,-5.71,0.39,2.05,1.32,0.81,5.16,21.54,29.69,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:27:285,0,0,155.0,806.0,651.0,85.81,28.47,100258.86,95.37,-2.63,-7.64,-5.67,0.38,2.01,1.3,-3.11,7.32,20.64,29.69,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:27:412,0,0,162.0,838.0,676.0,89.0,28.46,100256.97,95.53,-2.66,-6.86,-6.02,0.44,2.03,0.75,-7.53,9.95,18.63,29.69,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:27:539,0,0,168.0,873.0,705.0,92.91,28.47,100256.88,95.54,-2.34,-7.78,-5.63,0.24,1.07,0.88,-10.8,13.04,12.8,29.7,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:27:666,0,0,163.0,843.0,680.0,89.52,28.47,100256.36,95.58,-3.36,-7.34,-5.74,0.12,0.34,0.35,-8.35,15.04,7.64,29.68,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:27:793,0,0,157.0,802.0,645.0,84.66,28.47,100255.67,95.64,-0.58,-8.19,-5.38,0.01,-0.02,-0.1,-7.2,16.74,6.52,29.69,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:27:920,0,0,164.0,841.0,677.0,88.94,28.46,100257.84,95.46,-1.93,-8.59,-5.02,-0.02,-0.01,0.02,-5.24,17.98,4.72,29.66,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:28:047,0,0,117.0,574.0,457.0,59.38,28.46,100256.63,95.56,-1.31,-8.61,-4.85,0.0,0.02,-0.07,-4.59,17.36,4.72,29.67,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:28:173,0,0,99.0,522.0,423.0,55.94,28.46,100258.52,95.4,-1.76,-7.98,-5.08,0.01,0.05,0.16,-4.42,20.29,4.05,29.67,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:28:300,0,0,33.0,194.0,161.0,21.81,28.46,100257.58,95.48,-1.45,-8.31,-5.15,-0.0,0.0,-0.03,-1.31,23.23,2.93,29.67,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:28:427,0,0,41.0,231.0,190.0,25.5,28.47,100260.16,95.26,-1.29,-8.12,-5.16,0.0,0.02,0.01,0.32,25.39,3.82,29.67,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:28:554,0,0,52.0,281.0,229.0,30.46,28.46,100257.84,95.46,-1.64,-7.92,-5.03,0.02,0.04,0.1,1.8,25.54,9.88,29.67,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:28:681,0,0,67.0,350.0,283.0,37.34,28.46,100257.31,95.5,-1.22,-7.9,-5.33,0.0,0.03,0.1,2.45,25.85,9.43,29.67,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:28:808,0,0,64.0,326.0,262.0,34.36,28.47,100256.19,95.6,-1.25,-7.86,-5.16,0.01,0.01,0.12,3.92,26.93,11.9,29.67,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:28:935,0,0,50.0,260.0,210.0,27.68,28.47,100259.02,95.36,-0.85,-8.27,-4.77,-0.01,-0.04,-0.06,3.92,26.93,14.59,29.68,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:29:061,0,0,49.0,249.0,200.0,26.22,28.47,100256.27,95.59,-1.54,-8.25,-4.97,-0.01,0.0,0.09,4.09,27.4,16.61,29.68,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:29:188,0,0,47.0,241.0,194.0,25.49,28.47,100257.3,95.5,-0.91,-8.22,-4.93,-0.0,-0.0,-0.0,3.43,24.62,19.75,29.68,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:29:315,0,0,47.0,237.0,190.0,24.86,28.48,100258.41,95.41,-1.13,-8.32,-5.07,0.0,0.0,-0.01,1.31,25.08,21.77,29.68,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:29:442,0,0,47.0,222.0,175.0,22.51,28.47,100255.15,95.68,-2.53,-8.45,-5.77,0.02,-0.04,-0.14,-0.17,22.46,23.78,29.66,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:29:569,0,0,44.0,201.0,157.0,20.01,28.47,100256.95,95.53,-1.27,-8.65,-4.51,-0.01,-0.02,-0.07,-0.17,22.46,23.78,29.68,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:29:696,0,0,41.0,185.0,144.0,18.29,28.47,100260.23,95.26,-1.41,-8.66,-4.05,0.02,0.03,0.03,-4.42,18.13,23.34,29.69,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:29:823,0,0,38.0,172.0,134.0,17.04,28.47,100257.47,95.49,-0.98,-8.77,-3.8,-0.03,-0.0,-0.09,-7.04,17.51,22.44,29.7,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:29:949,0,0,37.0,165.0,128.0,16.21,28.48,100258.41,95.41,-1.13,-8.52,-4.9,-0.01,-0.02,-0.1,-7.04,15.35,22.89,29.69,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:30:076,0,0,36.0,161.0,125.0,15.84,28.48,100260.09,95.27,-2.06,-10.26,-3.62,-0.06,-0.0,-0.2,-7.69,15.35,21.99,29.69,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:30:203,0,0,35.0,156.0,121.0,15.32,28.48,100258.55,95.4,-1.27,-8.22,-5.04,-0.0,0.01,0.05,-8.51,14.89,23.11,29.69,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:30:330,0,0,35.0,158.0,123.0,15.63,28.48,100258.2,95.43,-1.19,-8.39,-4.83,-0.0,-0.01,-0.03,-8.84,12.73,21.77,29.68,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:30:457,0,0,35.0,160.0,125.0,15.94,28.49,100259.57,95.31,-1.19,-8.4,-4.83,-0.0,0.0,0.0,-9.66,14.12,22.44,29.69,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:30:584,0,0,35.0,159.0,124.0,15.78,28.49,100259.14,95.35,-1.13,-8.04,-5.27,-0.0,0.0,0.02,-8.68,13.19,23.34,29.69,missing_pressure,shuttle_ExFatLogger08.csv
2020/07/20 19:52:30:711,0,0,35.0,158.0,123.0,15.63,28.49,100260.16,95.26,-1.24,-8.28,-4.93,0.0,-0.0,-0.01,-8.84,13.34,22.66,29.69,missing_pressure,shuttle_ExFatLogger08.csv
